"LocalAddress","LocalPort","OwningProcess"
"::","135","1488"
"0.0.0.0","135","1488"
"192.168.1.235","139","4"
"::","445","4"
"::","5357","4"
"::","5985","4"
"0.0.0.0","7421","10584"
"::","7680","6700"
"::","47001","4"
"::","49664","1164"
"0.0.0.0","49664","1164"
"::","49665","616"
"0.0.0.0","49665","616"
"::","49666","2060"
"0.0.0.0","49666","2060"
"::","49667","2548"
"0.0.0.0","49667","2548"
"::1","49668","4156"
"::","49669","1136"
"0.0.0.0","49669","1136"
