"Name","DisplayName","State","StartName","ProcessId","PathName"
"NlaSvc","Network Location Awareness","Running","NT AUTHORITY\NetworkService","3624","C:\WINDOWS\System32\svchost.exe -k netprofm -p"
"nsi","Network Store Interface Service","Running","NT Authority\LocalService","1860","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Power","Power","Running","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"ProfSvc","User Profile Service","Running","LocalSystem","2132","C:\WINDOWS\system32\svchost.exe -k UserProfileService -p"
"RpcEptMapper","RPC Endpoint Mapper","Running","NT AUTHORITY\NetworkService","1488","C:\WINDOWS\system32\svchost.exe -k RPCSS -p"
"RpcSs","Remote Procedure Call (RPC)","Running","NT AUTHORITY\NetworkService","1488","C:\WINDOWS\system32\svchost.exe -k rpcss -p"
"RstMwService","Intel(R) Storage Middleware Service","Running","LocalSystem","3660","C:\WINDOWS\System32\DriverStore\FileRepository\iastorvd.inf_amd64_d9aa4f0713cc07ec\RstMwService.exe"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","LocalSystem","3696","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_01de91f5c3258938\RtkAudUService64.exe"""
"SamSs","Security Accounts Manager","Running","LocalSystem","1164","C:\WINDOWS\system32\lsass.exe"
"Schedule","Task Scheduler","Running","LocalSystem","2060","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"SENS","System Event Notification Service","Running","LocalSystem","2764","C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p"
"SessionSvc","Session Detection","Running","LocalSystem","3704","C:\WINDOWS\System32\drivers\SessionService.exe"
"ShellHWDetection","Shell Hardware Detection","Running","LocalSystem","3252","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"sppsvc","Software Protection","Stopped","NT AUTHORITY\NetworkService","0","C:\WINDOWS\system32\sppsvc.exe"
"StateRepository","State Repository Service","Running","LocalSystem","3128","C:\WINDOWS\system32\svchost.exe -k appmodel -p"
"StorSvc","Storage Service","Running","LocalSystem","7680","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SystemEventsBroker","System Events Broker","Running","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"TextInputManagementService","Text Input Management Service","Running","LocalSystem","2100","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Themes","Themes","Running","LocalSystem","2632","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"UDCService","Universal Device Client Service","Running","LocalSystem","3752","C:\WINDOWS\System32\drivers\Lenovo\udc\Service\UDClientService.exe"
"UserManager","User Manager","Running","LocalSystem","2392","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"UsoSvc","Update Orchestrator Service","Running","LocalSystem","8152","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Wcmsvc","Windows Connection Manager","Running","NT Authority\LocalService","2560","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc"
"webthreatdefusersvc_46f125","Web Threat Defense User Service_46f125","Running",,"7160","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WinDefend","Microsoft Defender Antivirus Service","Running","LocalSystem","3912","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe"""
"Winmgmt","Windows Management Instrumentation","Running","localSystem","3796","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"WinRM","Windows Remote Management (WS-Management)","Running","NT AUTHORITY\NetworkService","628","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"WlanSvc","WLAN AutoConfig","Running","LocalSystem","3116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running","LocalSystem","3832","C:\WINDOWS\System32\DriverStore\FileRepository\mewmiprov.inf_amd64_d51901c26227fb29\WMIRegistrationService.exe"
"WpnUserService_46f125","Windows Push Notifications User Service_46f125","Running",,"2536","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"wscsvc","Security Center","Running","NT AUTHORITY\LocalService","3848","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WSearch","Windows Search","Running","LocalSystem","4032","C:\WINDOWS\system32\SearchIndexer.exe /Embedding"
