"Name","Source","Version"
"pwsh.exe","C:\Program Files\PowerShell\7\pwsh.exe","7.6.1.0"
"powershell.exe","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","10.0.26100.5074"
